STATUS,CATEGORY1,CATEGORY2,CATEGORY3,MEASURE1,MEASURE2,MEASURE3,MEASURE4,MEASURE5,MEASURE6,MEASURE7,MEASURE8,MEASURE9,MEASURE10,MEASURE11,MEASURE12,MEASURE13,MEASURE14,MEASURE15,MEASURE16,MEASURE17
non-failed,PE,no,no,2307,2317963,7513,41648,190126,46843,64424,105077,177178,385546,577865,1090280,1354899,1407848,1714433,239482,299
non-failed,PE,no,no,1663,2394886,3922,5333,130864,41172,49111,66139,109066,829759,401774,618077,1165025,740516,1206298,679931,498
non-failed,PE,no,no,2460,3879591,11985,16792,238459,164178,378854,685994,973951,2500279,2359366,3115015,2745468,1697106,1664066,616930,2241
non-failed,PE,no,no,3719,2928579,19589,16364,246947,87817,116234,180468,290678,751336,702896,978084,1173274,1156318,1909531,1005557,1289
non-failed,PE,no,no,1767,1271016,5711,11489,109856,28222,34403,52333,89870,291908,274667,423687,648326,347930,494434,361768,307
non-failed,PE,no,no,2543,1244563,4801,5442,176241,75466,88039,121844,184284,485467,464841,790533,747440,643545,880482,387980,397
non-failed,PE,no,no,925,2992372,7101,8354,151995,77534,137076,251384,390559,611373,598783,706223,701730,573752,759760,301330,108
non-failed,PE,no,no,2820,2204382,10905,12661,205792,101573,163070,248232,357205,678787,614403,740523,687099,572349,838362,504942,248
non-failed,PE,no,no,1524,1786787,4905,3007,106508,31464,40664,60146,79368,179772,199272,377385,484105,457723,735350,509028,953
non-failed,PE,no,no,4419,3044005,4254,6330,210098,61919,78026,104973,144433,235542,485997,858110,1345042,1323143,1608748,968967,1202
non-failed,PE,no,no,1050,3893196,7583,7384,120543,56977,96319,192166,310607,628043,677798,789840,707646,602128,971105,352726,617
non-failed,PE,no,no,919,2000419,5658,6892,164443,67581,88398,124829,179402,582057,436137,628248,852324,919675,1651539,634405,1132
non-failed,PE,no,no,2924,5145676,12274,18613,165161,108912,215183,377530,574681,1816535,2251682,3581972,3301743,2241147,2144197,885803,6805
non-failed,PE,no,no,2100,4873760,11984,13786,196748,102634,153260,232159,341512,945184,1148913,1675685,2187237,1058940,1396263,713766,2058
non-failed,PE,no,no,3306,4093925,21301,32499,235603,192611,402310,746357,1147985,1636733,2121109,2401433,1977616,1190167,938327,203156,1410
non-failed,PE,no,no,1733,1211011,3894,5254,84433,38787,56282,120040,267959,621109,426527,351826,356465,400412,958296,502232,1257
non-failed,PE,no,no,931,445150,1940,5740,51182,11684,14378,18984,29017,112684,109731,181803,277371,356586,662713,304235,172
non-failed,PE,no,no,1480,1474713,4166,4572,55657,26303,46164,75793,112632,374355,275292,355717,426452,476424,1038643,897182,531
non-failed,PE,no,no,962,1841161,3347,5888,66445,45418,52769,74802,111091,359866,198813,272119,400562,466277,924811,510826,824
non-failed,PE,no,no,2502,3475227,15183,24586,184193,123049,231226,471641,823213,1436860,2297699,2593826,2076773,737505,230611,36840,242
non-failed,PE,no,no,1917,2657561,5859,8272,299560,190412,216005,287756,407222,640017,1112916,1918957,2568264,2646085,3108599,997700,2770
non-failed,PE,no,no,989,2685815,9071,38998,234848,47664,62913,94510,129341,372465,342171,858065,957388,905713,2240585,1102736,290
non-failed,PE,no,no,1044,1028507,3182,3690,44873,23594,29769,38860,52094,87136,149280,354869,496023,467323,840384,188983,224
non-failed,NA,no,no,484,696613,5089,1472,30902,6545,7333,9858,16106,40260,81088,164889,167512,152363,281280,99860,95
non-failed,PE,no,no,867,769090,5606,8867,27677,20246,32568,55480,115778,794197,381071,360165,412524,164660,290270,53936,215
non-failed,PE,no,no,1641,1097998,4581,5251,337295,65368,120197,282042,515819,695932,812435,877622,724560,450915,418437,75678,594
non-failed,PE,no,no,439,179186,6286,2646,11731,5458,9759,8950,6837,7283,11451,35057,75029,93875,313544,113274,92
non-failed,PE,no,no,254,278881,753,1290,15994,6321,8510,15815,27752,79178,102009,121899,106069,99066,195821,75357,310
non-failed,PE,no,no,194,168940,562,740,10508,7365,21567,37231,58723,72966,72760,125794,113694,73389,77539,26815,72
non-failed,PE,no,no,82,39934,194,529,5835,4211,6062,10688,21783,50648,90000,110013,91032,55458,54427,8419,139
non-failed,NA,no,no,320,65052,1294,761,23159,1206,2606,2046,1835,9749,8059,4120,2775,3105,9731,6819,4
non-failed,PE,no,no,3027,10392663,17357,51170,582164,120450,146822,198147,286087,935152,718734,1178153,1302179,883746,1078573,447524,876
non-failed,PE,no,no,2165,6422596,11004,33846,362164,96970,123684,159489,252169,1170184,693365,1087158,1124079,894080,1444396,676171,664
non-failed,PE,no,no,1805,2770564,9435,13459,139713,49478,95748,159133,250711,1306068,1196404,1438299,1252479,846318,1028765,524500,2768
non-failed,PE,no,no,712,1166566,2802,4520,124960,27902,43670,106721,199913,315382,366495,438952,422411,357371,363593,105046,493
non-failed,PE,no,no,1675,3563371,12398,17881,93324,72865,123841,229718,445344,2022059,1348609,1758625,1777737,1192122,1489042,810100,1944
non-failed,PE,no,no,3600,4370662,15797,13958,247214,86643,118324,218303,410623,1866040,1234293,1314765,1873137,1903167,3873787,2361545,1230
non-failed,PE,no,no,3386,6604467,15530,38628,543439,157442,219215,389048,653834,1926142,1378925,1657646,2033768,1770355,2484412,1386465,3137
non-failed,PE,no,no,221,134458,4807,5863,24363,6156,7396,10585,19155,130664,51933,33057,35565,41810,85544,39254,4
non-failed,PE,no,no,1186,773110,14743,69149,112141,27794,21045,21012,29997,179202,127178,201721,222047,208205,362981,202956,140
non-failed,PE,no,no,3902,5384211,18490,29065,222088,131386,265623,591993,1202139,2396556,3183585,3871380,3077738,1532102,1086538,271900,2266
non-failed,PE,no,no,928,2236311,5177,4258,151845,55106,75914,128440,205825,318240,473373,661388,747249,761457,883955,356455,849
non-failed,PE,no,no,2224,5165440,11613,14298,120820,64796,142118,326561,835826,5592424,2182668,2133845,1773528,1098724,1349825,1004356,2133
non-failed,PE,no,no,2487,4642994,7780,10827,175401,103870,193062,365752,567240,843549,1533094,2171004,2208055,2044226,2116382,640553,4221
non-failed,PE,no,no,1631,898237,10629,11272,86381,53612,105412,184857,257656,808568,594276,676232,600456,337595,457255,226896,195
non-failed,PE,no,no,819,2352565,26683,9359,146496,43776,52041,69288,97815,192922,239622,393815,521114,621249,870625,639466,1179
non-failed,PE,no,no,3504,2261618,2400912,214996,126442,69110,103692,145710,240604,3336826,1175611,828686,475794,214995,219224,173353,20
non-failed,PE,no,no,1496,1698373,2030,9786,343007,77202,60412,50326,37775,28452,23782,22823,29042,31618,70940,541201,10
non-failed,PE,no,no,1120,601611,4801,4048,61694,16920,20219,36762,74087,136973,118963,140049,161786,185922,484386,492968,257
non-failed,PE,no,no,762,598327,3757,38153,22040,7585,12392,20393,81271,2857737,1011769,392409,150419,71519,8350,1997,0
non-failed,PE,no,no,182,51528,154,220,2378,741,841,834,817,1453,1714,6342,31862,50906,132527,57983,25
non-failed,PE,no,no,562,673659,1783,3621,24474,21074,31553,45577,74279,998835,272600,185840,156482,111592,249200,148883,91
non-failed,PE,no,no,1044,1550850,5820,6594,82189,84196,190851,384873,582618,775717,1076507,1224066,972125,555356,488452,117916,829
non-failed,PE,no,no,630,779033,2265,6873,143007,40282,65247,98512,121770,204225,332958,417807,440698,268255,340175,186428,475
non-failed,PE,no,no,383,536267,765,17006,131308,15638,6076,9756,15566,21302,36615,167297,209667,158657,535685,310031,203
non-failed,PE,no,no,494,1582811,16439,15175,122171,44939,30636,24860,37855,38645,46546,91644,156503,192813,345191,132566,830
non-failed,PE,no,no,458,557352,251,652,15619,6192,6409,6970,10010,87987,32643,38925,61330,74377,239167,130929,280
non-failed,PE,no,no,162,192635,737,692,9450,7451,10964,17195,26063,40695,113330,145121,130780,100718,68018,22213,319
non-failed,PE,no,no,53,42978,120,214,6277,984,1123,1625,3368,2546,3285,4691,5328,6396,17564,4708,11
non-failed,PE,no,no,1374,1284628,3143,6128,67764,20367,23819,35677,66164,680834,275217,455307,803785,713590,1293705,855802,304
non-failed,PE,no,no,2248,4605564,490745,625003,739731,123674,98808,94761,110599,488356,303804,666444,1999837,3280515,5639215,2697015,594
non-failed,PE,no,no,1216,858484,36155,92042,32035,9009,29257,52471,103748,2000029,852923,560220,312269,212623,137829,98596,26
non-failed,PE,no,no,2653,1215722,18671,25607,78127,22356,27387,44901,83715,560206,1078729,2254074,2247062,2021913,2069774,737511,10048
non-failed,PE,no,no,2430,4873645,9418,12381,145623,65241,103655,182651,384241,981701,915651,2104150,3106067,2499137,2592343,514219,2795
non-failed,PE,no,no,1888,1208209,5550,8992,120286,36398,46307,70830,107662,297013,281049,407228,483515,479114,726162,349463,504
non-failed,PE,no,no,2690,3336566,35774,38649,234138,96046,110738,168672,265311,458032,810117,1511474,1698961,1525940,1938304,1163636,1847
non-failed,PE,no,no,3058,7730442,25720,30074,870606,233578,213379,220860,293149,443438,1044102,2284450,2523701,2161396,1542984,233369,699
non-failed,PE,no,no,2091,855400,4196,8051,40752,26037,46121,69732,117076,951744,359722,262278,406268,512119,1213901,986625,14
non-failed,PE,no,no,4625,2650232,13101,40124,831290,182397,143449,139611,152916,179654,185724,141377,96486,76812,104884,64920,6
non-failed,PE,no,no,6169,3008701,15247,47807,1442866,224776,192645,179254,175095,198022,177784,173685,156518,133428,217053,278632,27
non-failed,PE,no,no,10110,2805346,19910,32614,700535,194633,172138,159520,154647,152300,132721,124031,118786,113158,168832,85709,26
non-failed,NA,no,no,1942,1098991,16731,10690,123087,20758,23264,30635,46685,185277,178942,363522,407304,473666,878280,646700,692
non-failed,PE,no,no,3661,2579464,5118,8624,229816,37893,43612,57012,85796,235582,222569,495921,763699,681004,884284,461396,1237
non-failed,PE,no,no,3125,2495823,7231,10277,318757,52596,65992,97527,145028,234251,533704,1021395,1364160,1174730,1042827,341362,3547
non-failed,PE,no,no,2237,3030416,9801,11034,173394,64185,89054,156320,283754,547760,1300003,2285469,2319133,1665600,1414735,373555,3733
non-failed,PE,no,no,2366,2646356,7671,7931,169451,67860,102462,179337,328594,580551,1236067,1999696,2198665,2020415,1953887,733491,4566
non-failed,PE,no,no,1136,4415197,10378,11199,182773,98394,169846,367603,703952,1130593,1409105,1777172,2108337,961404,809014,272022,1535
non-failed,PE,no,no,1849,1560195,3506,8912,112829,123645,150959,216525,327222,1655326,570519,668014,955583,379507,342145,527907,65
non-failed,PE,no,no,774,942335,10695,7427,120516,48410,77566,115365,151363,317681,200460,261280,276647,266722,425490,167885,321
non-failed,PE,no,no,840,1625222,4121,4185,45322,21750,45655,88899,154471,354293,293413,528231,572782,523031,622579,233177,154
non-failed,PE,no,no,589,806393,1856,4503,27326,8700,15141,27085,52749,180609,139390,172591,171627,161357,389733,267119,597
non-failed,PE,no,no,944,2139990,7237,7510,102785,87031,163727,290513,468077,655051,799026,850788,910608,737674,734147,116777,965
non-failed,PE,no,no,698,528934,1897,2068,25622,7127,12275,28448,65736,188996,165929,183739,184437,111883,163513,37913,355
non-failed,PE,no,no,361,377633,36309,1543,22583,10708,14469,25238,52562,263030,96467,88999,112153,54389,108811,72052,16
non-failed,PE,no,no,233,631162,1793,2305,17741,19171,36282,64534,101097,226028,127545,150481,177956,154353,210612,97185,65
non-failed,PE,no,no,78,341168,3675,4742,8232,4931,10114,21187,62088,460072,142334,80580,72188,67344,71753,20393,3
